id track,name,popularity,duration ms,explicit,artists,id artists,release date,release year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,artist id 1,artist id 1 followers,artist id 1 genres,artist id 1 popularity,artist id 2,artist id 2 followers,artist id 2 genres,artist id 2 popularity,artist id 3,artist id 3 followers,artist id 3 genres,artist id 3 popularity,artist id 4,artist id 5,artist id 6,artist id 7,artist id 8,artist id 9,artist id 10,artist id 11,artist id 12,artist id 13,artist id 14,artist id 15,artist id 16,artist id 17,artist id 18,artist id 19,artist id 20,artist id 21,artist id 22,artist id 23,artist id 24,artist id 25,artist id 26,artist id 27,artist id 28,artist id 29,artist id 30,artist id 31,artist id 32,artist id 33,artist id 34,artist id 35,artist id 36,artist id 37,artist id 38,artist id 39,artist id 40,artist id 41,artist id 42,artist id 43,artist id 44,artist id 45,artist id 46,artist id 47,artist id 48,artist id 49,artist id 50,artist id 51,artist id 52,artist id 53,artist id 54,artist id 55,artist id 56,artist id 57,artist id 58,artist 1,artist 2,artist 3,artist 4,artist 5,artist 6,artist 7,artist 8,artist 9,artist 10,artist 11,artist 12,artist 13,artist 14,artist 15,artist 16,artist 17,artist 18,artist 19,artist 20,artist 21,artist 22,artist 23,artist 24,artist 25,artist 26,artist 27,artist 28,artist 29,artist 30,artist 31,artist 32,artist 33,artist 34,artist 35,artist 36,artist 37,artist 38,artist 39,artist 40,artist 41,artist 42,artist 43,artist 44,artist 45,artist 46,artist 47,artist 48,artist 49,artist 50,artist 51,artist 52,artist 53,artist 54,artist 55,artist 56,artist 57,artist 58
0004Uy71ku11n3LMpuyf59,24.11.94 - Wersja Akustyczna,34,258907,0,['Golden Life'],['3NyQ2NjqMjDtVSiEkXFW2r'],1/1/2012,2012,0.623,0.599,6,-9.255,1,0.0255,0.177,0.00148,0.0748,0.381,140.056,4,3NyQ2NjqMjDtVSiEkXFW2r,5425,['polish rock'],36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000CSYu4rvd8cQ7JilfxhZ,Adam et Ève,43,189107,0,['Kaïn'],['1KMHmX2PgvEl1nFzFmEdcZ'],5/3/2005,2005,0.624,0.766,2,-7.86,1,0.0731,0.345,0,0.113,0.548,95.128,4,1KMHmX2PgvEl1nFzFmEdcZ,30176,"['country quebecois', 'rock quebecois']",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaïn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000d0lQMYaRR5ZXS9nTeiN,Paris sous les bombes,32,258533,1,"['Suprême NTM', 'Lucien Papalu', 'Gregg Mann']","['4ko6Ysxtvx9EY9GEFslrIz', '3O0LgGoi4HC9e9Yjrjj45g', '2xaaenWdJBlFetFixpU3ff']",1995,1995,0.826,0.827,1,-8.393,1,0.205,0.0106,4.62E-05,0.17,0.49,92.137,4,4ko6Ysxtvx9EY9GEFslrIz,340558,"['french hip hop', 'french reggae', 'old school rap francais', 'rap conscient']",56,3O0LgGoi4HC9e9Yjrjj45g,,,,2xaaenWdJBlFetFixpU3ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suprême NTM,Lucien Papalu,Gregg Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000DsoWJKHdaUmhgcnpr8j,Balla Trazan Apansson / Vegetarianvisan,16,234533,0,['Trazan & Banarne'],['5PbCQPKjb0wQwaE7i5OVC6'],7/11/1977,1977,0.572,0.608,7,-10.224,1,0.555,0.642,0.00022,0.344,0.559,106.453,4,5PbCQPKjb0wQwaE7i5OVC6,8623,['barnmusik'],38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trazan & Banarne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000G1xMMuwxNHmwVsBdtj1,Will Anything Happen,32,182347,0,['Blondie'],['4tpUmLEVLCGFr93o8hFFIB'],9/23/1978,1978,0.256,0.895,2,-4.86,1,0.0707,0.0131,0.000106,0.0821,0.555,191.307,4,4tpUmLEVLCGFr93o8hFFIB,914213,"['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blondie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000jBcNljWTnyjB4YO7ojf,Me Quieres Perjudicar,0,179747,0,['Trio Maravilla'],['3cM6lCTVP4FEIExql5ehur'],1/1/1954,1954,0.788,0.808,5,-6.59,1,0.0395,0.656,0,0.154,0.969,113.046,4,3cM6lCTVP4FEIExql5ehur,95,['bomba y plena'],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trio Maravilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000KblXP5csWFFFsD6smOy,Podrás,35,240013,0,['Tamara Castro'],['11PnNvuse5a0xPupBIeHyW'],7/8/2006,2006,0.619,0.518,4,-5.392,0,0.0534,0.805,0,0.102,0.314,143.757,3,11PnNvuse5a0xPupBIeHyW,26380,"['chamame', 'folclore salteno', 'folklore argentino']",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamara Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000mGrJNc2GAgQdMESdgEc,"Symphony in B-Flat Major, Op. 20: II. Très lent - Un peu plus vite",0,498560,0,"['Ernest Chausson', 'Pierre Monteux']","['4dadMoMQOTGa96FlnhEzCi', '5fL4LVKRLKkyN1Xalpt0xx']",1951,1951,0.0753,0.15,2,-16.705,0,0.0371,0.302,0.884,0.121,0.0351,76.558,3,4dadMoMQOTGa96FlnhEzCi,4242,"['classical', 'french romanticism', 'late romantic era']",33,5fL4LVKRLKkyN1Xalpt0xx,1942,"['historic orchestral performance', 'orchestral performance']",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ernest Chausson,Pierre Monteux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000Npgk5e2SgwGaIsN3ztv,Mere Hamsafar,0,206972,0,['Talat Mahmood'],['2fi9hpqNbi5neTbKSqG0vW'],12/31/1953,1953,0.277,0.145,3,-19.898,1,0.0845,0.98,0.879,0.111,0.494,75.644,4,2fi9hpqNbi5neTbKSqG0vW,310997,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi']",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talat Mahmood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000P83HDtOHcNVFZy7Q2Yu,El Licor de Tu Boquita,18,242493,0,['El Gran Combo De Puerto Rico'],['6nnspeopmJAG07xOxHmqTu'],1980,1980,0.619,0.561,7,-8.377,0,0.0736,0.438,4.17E-05,0.126,0.696,88.94,4,6nnspeopmJAG07xOxHmqTu,796333,"['boogaloo', 'latin', 'latin jazz', 'salsa', 'salsa puertorriquena', 'tropical']",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,El Gran Combo De Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
